"name","date"
"New year","2000-01-01T00:00:00+08:00"
"Hari Raya Puasa","2000-01-08T00:00:00+08:00"
"Chinese Lunar New Year's Day","2000-02-05T00:00:00+08:00"
"Second day of Chinese Lunar New Year","2000-02-06T00:00:00+08:00"
"Second day of Chinese Lunar New Year shift","2000-02-07T00:00:00+08:00"
"Hari Raya Haji","2000-03-16T00:00:00+08:00"
"Good Friday","2000-04-21T00:00:00+08:00"
"Labour Day","2000-05-01T00:00:00+08:00"
"Vesak Day","2000-05-18T00:00:00+08:00"
"National Day","2000-08-09T00:00:00+08:00"
"Deepavali","2000-10-26T00:00:00+08:00"
"Christmas Day","2000-12-25T00:00:00+08:00"
"Hari Raya Puasa","2000-12-28T00:00:00+08:00"
"New year","2001-01-01T00:00:00+08:00"
"Chinese Lunar New Year's Day","2001-01-24T00:00:00+08:00"
"Second day of Chinese Lunar New Year","2001-01-25T00:00:00+08:00"
"Hari Raya Haji","2001-03-06T00:00:00+08:00"
"Good Friday","2001-04-13T00:00:00+08:00"
"Labour Day","2001-05-01T00:00:00+08:00"
"Vesak Day","2001-05-07T00:00:00+08:00"
"National Day","2001-08-09T00:00:00+08:00"
"Deepavali","2001-11-14T00:00:00+08:00"
"Hari Raya Puasa","2001-12-17T00:00:00+08:00"
"Christmas Day","2001-12-25T00:00:00+08:00"
"New year","2002-01-01T00:00:00+08:00"
"Chinese Lunar New Year's Day","2002-02-12T00:00:00+08:00"
"Second day of Chinese Lunar New Year","2002-02-13T00:00:00+08:00"
"Hari Raya Haji","2002-02-23T00:00:00+08:00"
"Good Friday","2002-03-29T00:00:00+08:00"
"Labour Day","2002-05-01T00:00:00+08:00"
"Vesak Day","2002-05-26T00:00:00+08:00"
"Vesak Day shift","2002-05-27T00:00:00+08:00"
"National Day","2002-08-09T00:00:00+08:00"
"Deepavali","2002-11-03T00:00:00+08:00"
"Deepavali shift","2002-11-04T00:00:00+08:00"
"Hari Raya Puasa","2002-12-06T00:00:00+08:00"
"Christmas Day","2002-12-25T00:00:00+08:00"
"New year","2003-01-01T00:00:00+08:00"
"Chinese Lunar New Year's Day","2003-02-01T00:00:00+08:00"
"Second day of Chinese Lunar New Year","2003-02-02T00:00:00+08:00"
"Second day of Chinese Lunar New Year shift","2003-02-03T00:00:00+08:00"
"Hari Raya Haji","2003-02-12T00:00:00+08:00"
"Good Friday","2003-04-18T00:00:00+08:00"
"Labour Day","2003-05-01T00:00:00+08:00"
"Vesak Day","2003-05-15T00:00:00+08:00"
"National Day","2003-08-09T00:00:00+08:00"
"Deepavali","2003-10-23T00:00:00+08:00"
"Hari Raya Puasa","2003-11-26T00:00:00+08:00"
"Christmas Day","2003-12-25T00:00:00+08:00"
"New year","2004-01-01T00:00:00+08:00"
"Chinese Lunar New Year's Day","2004-01-22T00:00:00+08:00"
"Second day of Chinese Lunar New Year","2004-01-23T00:00:00+08:00"
"Hari Raya Haji","2004-02-02T00:00:00+08:00"
"Good Friday","2004-04-09T00:00:00+08:00"
"Labour Day","2004-05-01T00:00:00+08:00"
"Vesak Day","2004-06-02T00:00:00+08:00"
"National Day","2004-08-09T00:00:00+08:00"
"Deepavali","2004-11-11T00:00:00+08:00"
"Hari Raya Puasa","2004-11-14T00:00:00+08:00"
